O_code,D_code,car_time,bus_time,ship_time,rail_time,air_time,car_cost,bus_cost,ship_cost,rail_cost,air_cost
4,47,-,-,-,-,330.4,-,-,-,-,57910
4,48,1051.3306,1465.4,-,771.3,312.3,22280,20020,-,24330,54590
4,49,822.794,1027.2,1018.4,535.8,217.8,15320,14250,11080,19480,32620
4,50,539.3386,618.1,-,300.1,290.1,10760,9440,-,15240,50760
5,1,801.7892,1524.5,-,676.4,346.4,16790,21040,-,19920,34330
5,2,204.4686,659.4,-,198.8,-,3820,10710,-,5600,-
5,3,144.2986,499.2,-,138.5,-,1600,7690,-,4620,-
5,4,226.3486,340.1,-,191.6,285.1,6250,4910,-,10570,58860
5,5,0,-,-,-,-,0,-,-,-,-
5,6,213.5488,387.7,-,300.5,270.3,3560,5640,-,11230,47640
5,7,288.816,420.8,-,223.3,336.4,7760,5810,-,12330,65470
5,8,431.583,758.5,-,393.8,330.8,11990,11980,-,20110,33050
5,9,415.173,874.6,-,286.8,340.8,11390,11060,-,16090,31170
5,10,460.027,735.6,-,340.7,359.7,9290,11410,-,20270,33030
5,11,495.035,582.4,-,261.8,250.8,14080,10090,-,17260,29780
5,12,543.718,618.9,-,331.5,259.5,15220,10700,-,18320,30360
5,13,512.1014,546.6,-,301.4,229.4,14900,9700,-,17440,29480
5,14,531.4652,598.4,-,317.3,217.3,15670,10310,-,18120,29440
5,15,278.0948,604.6,-,300,257.3,4070,9000,-,7210,61420
5,16,479.719,820.9,-,399.4,333.4,9690,12920,-,26310,54320
5,17,520.4158,869.7,-,437,370,11010,13520,-,27130,55010
5,18,587.0404,984,-,484.5,382.5,12860,15630,-,28350,40790
5,19,568.88,697.8,-,408.1,342.1,12230,11700,-,19680,33360
5,20,444.164,792.3,-,343.7,461.7,8230,12100,-,21660,42000
5,21,653.665,987.6,-,429.1,285.1,14540,16540,-,25760,35280
5,22,672.0442,752.9,-,365.2,307.2,19320,12630,-,22310,35660
5,23,660.8854,938.2,-,399.7,253.7,16000,16160,-,25640,34850
5,24,736.4808,1059.7,-,467.6,321.6,17990,15900,-,27350,36580
5,25,722.3682,1003.2,-,442.3,309.3,16510,15400,-,27680,39320
5,26,741.5132,987.3,1324.3,438.9,306.9,15280,15970,8020,27750,38810
5,27,759.1266,1030.9,1351.5,467.4,276.4,19970,16090,21590,28210,38530
5,28,790.7432,1052.3,-,469.4,289.6,20500,17820,-,28460,38630
5,29,760.4394,1022.5,-,475.9,312.1,18800,15680,-,28110,39410
5,30,822.0316,1156.4,-,543.6,355.6,21120,18340,-,28970,39400
5,31,860.2122,1203.3,-,605.2,331.2,18160,20400,-,32310,60370
5,32,967.2054,1223.8,-,687.6,345.6,22800,21160,-,33020,62440
5,33,891.7194,1183.3,-,511.8,353.8,21000,19800,-,30590,63670
5,34,1008.3398,1238.8,-,561.7,351.2,25150,21600,-,32400,65050
5,35,1113.145,1398.2,-,622.1,386.1,27800,20300,-,35020,65450
5,36,863.3848,1120.5,-,662,330,23590,20040,-,32780,62650
5,37,902.55,1205.5,-,586.7,327.2,24920,19540,-,31020,62920
5,38,1010.4184,1292.5,-,701,332,28210,22000,-,33870,65380
5,39,991.0546,1277.6,-,703.3,361.3,27470,22800,-,33480,65230
5,40,1239.1738,1430.2,-,629.4,313.7,31670,22900,-,36110,52270
5,41,1298.578,1923.9,-,687.3,401.3,32420,29050,-,37900,70810
5,42,1355.6848,1663.4,-,770.2,372.9,34560,28540,-,39530,52910
5,43,1336.9774,1622.1,-,713,397,33480,22960,-,40020,64510
5,44,1289.6072,1683.2,-,710.3,382.3,32840,26750,-,38380,64160
5,45,1465.0848,1984.5,-,908.3,345.1,37240,32980,-,46240,63940
5,46,1476.4624,1980.5,-,760,403,37390,32030,-,43810,53430
5,47,-,-,-,-,372.9,-,-,-,-,54910
5,48,936.4606,1807.4,-,813.8,353.8,17540,24750,-,21690,51670
5,49,707.924,1369.1,714.2,578.3,259.3,10580,18980,7980,16630,29700
5,50,424.4686,940.1,-,342.6,331.6,6020,13950,-,9850,47840
6,1,953.8552,1274.1,-,743,409.5,22740,17260,-,22900,37980
6,2,356.5346,409,-,290.4,271.2,9770,6930,-,11970,54050
6,3,206.9848,270.9,-,202.1,335.2,5910,3910,-,7750,64720
6,4,65.7494,93.3,-,124,-,1700,930,-,1170,-
6,5,213.2206,392.7,-,300.5,267.8,3560,5640,-,11230,48130
6,6,0,-,-,-,-,0,-,-,-,-
6,7,99.4446,192.5,-,115.3,-,2580,2030,-,3190,-
6,8,265.7326,587.2,-,303.7,288.6,7380,8750,-,9930,24120
6,9,225.8016,624.3,-,179.9,331.9,6410,7280,-,8740,26510
6,10,296.5834,549.3,-,295.8,370.8,8630,8050,-,14350,24180
6,11,305.6636,399,-,216.9,261.9,9120,6720,-,10810,20930
6,12,366.5994,448.6,-,286.5,270.5,10390,7500,-,12080,21510
6,13,322.8394,420.6,-,256.5,240.5,9940,6680,-,11310,20630
6,14,352.1586,435.5,-,272.4,228.4,10600,7220,-,11880,20590
6,15,186.0894,301.6,-,355.1,-,2560,4100,-,19540,-
6,16,387.7136,517.9,-,354.5,344.5,8190,8020,-,21580,45470
6,17,428.4104,511.2,-,392.1,392.1,9500,9320,-,22410,34080
6,18,495.035,594.7,-,439.6,364.6,11350,10470,-,23730,34030
6,19,431.3642,577.5,-,363.2,353.2,11910,8500,-,14200,24510
6,20,352.1586,489.3,-,298.8,464.8,6720,7200,-,16720,38180
6,21,561.6596,750.2,-,384.1,293.1,13030,9510,-,20710,32260
6,22,482.6728,598.5,-,320.3,411.3,14360,9450,-,17150,23810
6,23,568.88,700.8,-,354.7,244.7,14490,9130,-,20910,31880
6,24,644.4754,781.7,-,422.6,325.6,16480,9940,-,22620,33590
6,25,630.3628,707.8,-,397.4,290.4,15000,13000,-,22630,38170
6,26,649.5078,704.4,-,394,288,13770,13060,-,22700,37660
6,27,667.1212,756.9,-,422.4,257.4,18470,13480,-,23150,37380
6,28,698.7378,780.4,-,424.4,270.6,18990,13710,-,23410,37480
6,29,668.434,769.1,-,431,293.1,17290,13610,-,23060,38260
6,30,730.0262,861.8,-,498.7,336.7,19610,14540,-,23910,38250
6,31,768.0974,945.3,-,560.3,342.3,16650,16800,-,27360,51520
6,32,875.0906,1070.5,-,642.7,356.7,21420,17970,-,28400,53590
6,33,799.714,953.3,-,466.9,364.9,19490,16500,-,25540,54820
